P,PdVPr,x,x1,x2,x3,y,y1,y2,y3
AVA,MDD(0) v MMM(0),3124,1057,1022,1044,-2468,-859,-830,-780
AVE,MDD(0) v MMM(1/3),2068,723,656,688,-910,-304,-304,-304
AVS,MDD(0) v MMM(1),1305,436,409,460,-564,-197,-184,-184
EVA,MDD(1/3) v MMM(0),5190,1730,1730,1730,-3382,-950,-1221,-1212
EVE,MDD(1/3) v MMM(1/3),4101,1367,1367,1367,-1784,-595,-595,-595
EVS,MDD(1/3) v MMM(1),1599,533,533,533,-792,-203,-218,-372
SVA,MDD(1) v MMM(0),18614,6133,6740,5741,-7963,-2046,-2865,-3053
SVE,MDD(1) v MMM(1/3),9576,3681,2749,3144,-3835,-1279,-1279,-1279
SVS,MDD(1) v MMM(1),3894,1547,1125,1221,-1738,-889,-275,-575
AVA,MDL(0) v MRR(0),2019,684,667,668,-8600,-2849,-2968,-2784
AVE,MDL(0) v MRR(1/3),2269,764,739,765,-6700,-2234,-2234,-2234
AVS,MDL(0) v MRR(1),2029,629,689,710,-5335,-225,-2558,-2553
EVA,MDL(1/3) v MRR(0),4137,1379,1379,1379,-7869,-2628,-2514,-2728
EVE,MDL(1/3) v MRR(1/3),3989,1329,1329,1329,-7763,-2588,-2588,-2588
EVS,MDL(1/3) v MRR(1),4549,1516,1516,1516,-5186,-239,-2380,-2568
SVA,MDL(1) v MRR(0),10404,5036,4418,950,-7605,-3020,-2615,-1970
SVE,MDL(1) v MRR(1/3),16164,5820,5874,4469,-10291,-3431,-3431,-3431
SVS,MDL(1) v MRR(1),9353,3332,1767,4253,-6830,-848,-3176,-2806
AVA,DLR(0) v MRL(0),2369,741,826,801,-4937,-1908,-1114,-1916
AVE,DLR(0) v MRL(1/3),2655,827,931,897,-2864,-955,-955,-955
AVS,DLR(0) v MRL(1),1826,654,608,564,-2625,-195,-2201,-230
EVA,DLR(1/3) v MRL(0),8254,2751,2751,2751,-5490,-2221,-1739,-1531
EVE,DLR(1/3) v MRL(1/3),5338,1779,1779,1779,-4493,-1498,-1498,-1498
EVS,DLR(1/3) v MRL(1),2447,815,815,815,-2953,-207,-2362,-385
SVA,DLR(1) v MRL(0),10404,5036,4418,950,-7605,-3020,-2615,-1970
SVE,DLR(1) v MRL(1/3),9123,4250,3836,1036,-6461,-2154,-2154,-2154
SVS,DLR(1) v MRL(1),6397,1535,3940,921,-4067,-239,-3115,-714
AVA,MDR(0) v MLL(0),2542,888,801,852,-2235,-731,-734,-771
AVE,MDR(0) v MLL(1/3),2292,788,737,767,-947,-316,-316,-316
AVS,MDR(0) v MLL(1),1329,445,389,493,-546,-188,-196,-163
EVA,MDR(1/3) v MLL(0),5565,1855,1855,1855,-3654,-1336,-1353,-965
EVE,MDR(1/3) v MLL(1/3),3696,1232,1232,1232,-1557,-519,-519,-519
EVS,MDR(1/3) v MLL(1),1599,533,533,533,-764,-257,-192,-317
SVA,MDR(1) v MLL(0),13055,4796,7182,1076,-6161,-1965,-2071,-2126
SVE,MDR(1) v MLL(1/3),5435,2550,2094,791,-2277,-759,-759,-759
SVS,MDR(1) v MLL(1),3006,1397,855,753,-1215,-688,-205,-323
AVA,LLR(0) v RRR(0),1898,612,644,642,-9105,-3055,-2977,-3074
AVE,LLR(0) v RRR(1/3),1992,668,681,642,-7924,-2642,-2642,-2642
AVS,LLR(0) v RRR(1),2090,693,688,708,-6072,-2179,-1983,-1911
EVA,LLR(1/3) v RRR(0),2762,920,920,920,-8375,-2877,-2732,-2767
EVE,LLR(1/3) v RRR(1/3),3708,1236,1236,1236,-8009,-2670,-2670,-2670
EVS,LLR(1/3) v RRR(1),2813,937,937,937,-8634,-2872,-2876,-2888
SVA,LLR(1) v RRR(0),6495,2024,3683,787,-9892,-3380,-3049,-3464
SVE,LLR(1) v RRR(1/3),8167,3569,3768,829,-9833,-3278,-3278,-3278
SVS,LLR(1) v RRR(1),8302,2807,4541,953,-11234,-3162,-4300,-3773
AVA,MDR(0) v MMD(0),2594,897,840,856,-1905,-638,-585,-683
AVE,MDR(0) v MMD(1/3),2191,772,684,735,-918,-306,-306,-306
AVS,MDR(0) v MMD(1),1499,546,468,485,-619,-205,-232,-183
EVA,MDR(1/3) v MMD(0),6385,2128,2128,2128,-3475,-831,-1251,-1394
EVE,MDR(1/3) v MMD(1/3),3901,1300,1300,1300,-1750,-584,-584,-584
EVS,MDR(1/3) v MMD(1),1324,441,441,441,-634,-224,-200,-212
SVA,MDR(1) v MMD(0),13045,5601,6266,1177,-5935,-2420,-1169,-2347
SVE,MDR(1) v MMD(1/3),6590,3204,2461,924,-2658,-886,-886,-886
SVS,MDR(1) v MMD(1),3203,1491,1006,704,-1305,-601,-506,-199
AVA,DLR(0) v MDR(0),2330,751,809,770,-4324,-1580,-1693,-1052
AVE,DLR(0) v MDR(1/3),2444,789,831,823,-3537,-1179,-1179,-1179
AVS,DLR(0) v MDR(1),1723,599,561,562,-2725,-229,-175,-2322
EVA,DLR(1/3) v MDR(0),7319,2439,2439,2439,-5474,-2007,-1683,-1785
EVE,DLR(1/3) v MDR(1/3),6575,2191,2191,2191,-5171,-1724,-1724,-1724
EVS,DLR(1/3) v MDR(1),3754,1251,1251,1251,-3621,-231,-191,-3200
SVA,DLR(1) v MDR(0),13279,6745,5453,1080,-7774,-3247,-2211,-2316
SVE,DLR(1) v MDR(1/3),9751,3784,4923,1042,-5643,-1881,-1881,-1881
SVS,DLR(1) v MDR(1),5444,1683,2939,821,-3505,-673,-485,-2348
AVA,DLL(0) v MLR(0),2715,909,888,916,-5089,-1905,-2006,-1179
