PdVPr,x,x1,x2,y,y1,y2
DD(1) v MM(0.9),858,394,463,-606,-165,-442
DD(1) v MM(1),1018,537,481,-717,-319,-399
DD(0) v RL(0),688,347,340,-4525,-2207,-2319
DD(0) v RL(0.1),722,369,353,-3842,-1405,-2437
DD(0) v RL(0.3),784,389,395,-2524,-985,-1539
DD(0) v RL(0.5),765,379,386,-3016,-1508,-1508
DD(0) v RL(0.7),700,358,342,-3210,-2140,-1070
DD(0) v RL(0.9),434,221,213,-2858,-2482,-376
DD(0) v RL(1),474,224,249,-1939,-1845,-94
DD(0.1) v RL(0),660,318,342,-5768,-3239,-2530
DD(0.1) v RL(0.1),785,389,396,-3954,-1732,-2223
DD(0.1) v RL(0.3),871,442,428,-2803,-1115,-1689
DD(0.1) v RL(0.5),916,466,449,-2173,-1087,-1087
DD(0.1) v RL(0.7),716,356,360,-3060,-2018,-1042
DD(0.1) v RL(0.9),512,261,250,-2775,-2408,-367
DD(0.1) v RL(1),479,245,233,-1970,-1885,-85
DD(0.3) v RL(0),1022,487,534,-5623,-3214,-2410
DD(0.3) v RL(0.1),1123,557,565,-3549,-1321,-2228
DD(0.3) v RL(0.3),3234,1230,2004,-3497,-1695,-1803
DD(0.3) v RL(0.5),3144,1968,1175,-3721,-1861,-1861
DD(0.3) v RL(0.7),1162,611,551,-2018,-1312,-706
DD(0.3) v RL(0.9),820,424,396,-2014,-1714,-301
DD(0.3) v RL(1),1295,781,513,-2768,-2680,-88
DD(0.5) v RL(0),5903,2951,2951,-8058,-3216,-4842
DD(0.5) v RL(0.1),8139,4069,4069,-6245,-2521,-3724
DD(0.5) v RL(0.3),8159,4079,4079,-5823,-2738,-3085
DD(0.5) v RL(0.5),5126,2563,2563,-4645,-2323,-2323
DD(0.5) v RL(0.7),3440,1720,1720,-3941,-2460,-1482
DD(0.5) v RL(0.9),4372,2186,2186,-4040,-3533,-508
DD(0.5) v RL(1),5234,2617,2617,-4946,-4850,-96
DD(0.7) v RL(0),7251,3658,3593,-7599,-2131,-5469
DD(0.7) v RL(0.1),7372,3613,3759,-7778,-3848,-3931
DD(0.7) v RL(0.3),7514,3494,4020,-6224,-2880,-3344
DD(0.7) v RL(0.5),7994,3970,4024,-7071,-3536,-3536
DD(0.7) v RL(0.7),2104,1026,1077,-3569,-2077,-1492
DD(0.7) v RL(0.9),5836,2934,2902,-5232,-4434,-798
DD(0.7) v RL(1),6008,3072,2936,-5106,-4804,-303
DD(0.9) v RL(0),6644,3347,3296,-7784,-2440,-5345
DD(0.9) v RL(0.1),6923,3127,3795,-7620,-3658,-3963
DD(0.9) v RL(0.3),8063,4441,3622,-6710,-3333,-3378
DD(0.9) v RL(0.5),8290,4086,4203,-6649,-3325,-3325
DD(0.9) v RL(0.7),6370,3251,3118,-5324,-3485,-1840
DD(0.9) v RL(0.9),7598,3751,3847,-6220,-5409,-811
DD(0.9) v RL(1),4836,3781,1055,-4807,-4494,-313
DD(1) v RL(0),7089,3457,3632,-7949,-3193,-4756
DD(1) v RL(0.1),6524,2414,4110,-6070,-3986,-2084
DD(1) v RL(0.3),6745,3125,3619,-6053,-2665,-3389
DD(1) v RL(0.5),6242,4255,1987,-5440,-2720,-2720
DD(1) v RL(0.7),5735,3176,2558,-5456,-3603,-1853
DD(1) v RL(0.9),6484,3373,3110,-5259,-4633,-626
DD(1) v RL(1),4764,2958,1805,-4564,-4228,-337
MR(0) v LR(0),546,282,263,-6544,-2826,-3719
MR(0) v LR(0.1),717,365,352,-2525,-1610,-915
MR(0) v LR(0.3),767,358,408,-2180,-1318,-862
MR(0) v LR(0.5),677,337,340,-2312,-1156,-1156
MR(0) v LR(0.7),614,307,307,-2572,-884,-1689
MR(0) v LR(0.9),428,217,211,-2587,-330,-2258
MR(0) v LR(1),415,209,206,-2378,-79,-2299
MR(0.1) v LR(0),646,312,334,-4430,-1924,-2507
MR(0.1) v LR(0.1),755,336,419,-2536,-1804,-733
MR(0.1) v LR(0.3),688,324,363,-3129,-1988,-1142
MR(0.1) v LR(0.5),703,363,340,-2343,-1172,-1172
MR(0.1) v LR(0.7),650,310,340,-2337,-803,-1535
MR(0.1) v LR(0.9),421,201,219,-2981,-373,-2609
MR(0.1) v LR(1),407,201,206,-2568,-94,-2474
MR(0.3) v LR(0),853,379,474,-4714,-2600,-2115
MR(0.3) v LR(0.1),1028,438,590,-4162,-2266,-1897
MR(0.3) v LR(0.3),889,408,480,-2503,-1524,-980
MR(0.3) v LR(0.5),854,391,462,-2632,-1316,-1316
MR(0.3) v LR(0.1),855,395,460,-3141,-1066,-2075
MR(0.3) v LR(0.9),828,334,493,-2893,-378,-2516
MR(0.3) v LR(1),360,179,181,-3215,-89,-3127
MR(0.5) v LR(0),2002,1001,1001,-6788,-3551,-3238
MR(0.5) v LR(0.1),4078,2039,2039,-4496,-1956,-2541
MR(0.5) v LR(0.3),3901,1950,1950,-3954,-1973,-1982
MR(0.5) v LR(0.5),3038,1519,1519,-4213,-2107,-2107
MR(0.5) v LR(0.7),1783,891,891,-3251,-1357,-1895
MR(0.5) v LR(0.9),3231,1615,1615,-3068,-386,-2682
MR(0.5) v LR(1),2549,1274,1274,-3791,-87,-3705
MR(0.7) v LR(0),4394,2881,1512,-6322,-3835,-2488
MR(0.7) v LR(0.1),4879,3194,1685,-5125,-3686,-1440
MR(0.7) v LR(0.3),5823,3845,1978,-5169,-3023,-2146
MR(0.7) v LR(0.5),3916,2548,1368,-5291,-2646,-2646
MR(0.7) v LR(0.7),3888,2547,1341,-4710,-1583,-3127
MR(0.7) v LR(0.9),3735,2456,1279,-3986,-541,-3446
MR(0.7) v LR(1),4085,2703,1382,-4240,-186,-4054
MR(0.9) v LR(0),4404,3629,775,-6922,-4175,-2748
MR(0.9) v LR(0.1),3976,3247,728,-5519,-2546,-2973
MR(0.9) v LR(0.3),6704,5500,1203,-5698,-3137,-2561
MR(0.9) v LR(0.5),5849,4858,991,-5241,-2621,-2621
MR(0.9) v LR(0.7),4478,3535,942,-4285,-1430,-2855
MR(0.9) v LR(0.9),6856,5609,1246,-5456,-2952,-2504
MR(0.9) v LR(1),3920,3192,728,-4230,-171,-4059
MR(1) v LR(0),4284,3796,488,-5640,-4030,-1611
MR(1) v LR(0.1),5508,5045,463,-5868,-3347,-2522
MR(1) v LR(0.3),6780,6139,640,-5328,-2630,-2698
MR(1) v LR(0.5),2822,2422,400,-3720,-1860,-1860
MR(1) v LR(0.7),3659,3116,542,-3913,-1314,-2599
MR(1) v LR(0.9),4076,3662,413,-4400,-559,-3842
MR(1) v LR(1),3686,3318,368,-4220,-204,-4017
