PdVPr,x,x1,x2,y,y1,y2
ML(0.9) v MM(0.1),8274,4545,3728,-5748,-3556,-2192
ML(0.9) v MM(0.3),7031,3701,3330,-4122,-2168,-1955
ML(0.9) v MM(0.5),1736,778,958,-1181,-591,-591
ML(0.9) v MM(0.7),1411,673,737,-945,-439,-507
ML(0.9) v MM(0.9),1122,585,536,-797,-420,-377
ML(0.9) v MM(1),1107,576,530,-802,-365,-438
ML(1) v MM(0),9850,5110,4740,-6386,-3185,-3202
ML(1) v MM(0.1),7558,3413,4144,-4864,-2753,-2112
ML(1) v MM(0.3),5714,3196,2517,-3410,-1560,-1850
ML(1) v MM(0.5),1855,896,958,-1266,-633,-633
ML(1) v MM(0.7),1319,688,631,-887,-431,-456
ML(1) v MM(0.9),1096,565,530,-765,-442,-323
ML(1) v MM(1),1239,599,639,-880,-367,-513
MR(0) v LL(0),744,365,379,-1117,-573,-545
MR(0) v LL(0.1),694,375,318,-784,-376,-409
MR(0) v LL(0.3),701,352,349,-498,-251,-248
MR(0) v LL(0.5),297,150,146,-217,-109,-109
MR(0) v LL(0.7),197,102,95,-182,-93,-90
MR(0) v LL(0.9),163,75,88,-141,-72,-69
MR(0) v LL(1),206,105,100,-169,-84,-85
MR(0.1) v LL(0),742,361,380,-1267,-614,-653
MR(0.1) v LL(0.1),738,370,367,-842,-429,-414
MR(0.1) v LL(0.3),756,351,405,-543,-270,-273
MR(0.1) v LL(0.5),437,245,192,-288,-144,-144
MR(0.1) v LL(0.7),187,97,90,-163,-81,-82
MR(0.1) v LL(0.9),157,77,79,-149,-80,-69
MR(0.1) v LL(1),174,85,89,-152,-79,-74
MR(0.3) v LL(0),1239,535,703,-1627,-895,-733
MR(0.3) v LL(0.1),1025,451,573,-1047,-523,-524
MR(0.3) v LL(0.3),1004,464,540,-689,-355,-334
MR(0.3) v LL(0.5),303,151,151,-226,-113,-113
MR(0.3) v LL(0.7),212,98,113,-169,-89,-81
MR(0.3) v LL(0.9),205,99,105,-166,-83,-84
MR(0.3) v LL(1),198,97,101,-169,-99,-71
MR(0.5) v LL(0),2700,1350,1350,-2702,-1856,-846
MR(0.5) v LL(0.1),2554,1277,1277,-1988,-1298,-690
MR(0.5) v LL(0.3),2138,1069,1069,-1263,-598,-666
